Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Shubman Gill,2020-2025,47,47,7,2459,208,61.47,2404,102.28,6,15,1,280,53
V Kohli,2020-2025,54,51,5,2302,166*,50.04,2429,94.77,7,17,3,208,32
SS Iyer,2020-2025,47,42,4,2048,128*,53.89,2021,101.33,5,13,1,199,51
KG Sharma,2020-2025,46,45,4,2043,131,49.82,1789,114.19,4,14,3,223,100
KL Rahul,2020-2025,53,49,10,1974,112,50.61,2181,90.50,4,13,1,153,47
S Dhawan,2020-2022,34,33,3,1275,98,42.50,1567,81.36,0,12,0,154,12
Ishan Kishan,2021-2023,27,24,2,933,210,42.40,913,102.19,1,7,1,95,33
HH Pandya,2020-2025,34,25,4,831,92*,39.57,787,105.59,0,7,1,65,28
SA Yadav,2021-2023,37,35,5,773,72*,25.76,736,105.02,0,4,3,80,19
RA Jadeja,2020-2025,40,28,13,591,66*,39.40,714,82.77,0,2,0,37,13
RR Pant,2020-2024,16,14,1,525,125*,40.38,492,106.70,1,4,2,53,17
SV Samson,2021-2023,16,14,5,510,108,56.66,512,99.60,1,3,0,34,22
AR Patel,2022-2025,24,21,5,480,64*,30.00,507,94.67,0,3,0,29,20
Washington Sundar,2022-2024,21,14,1,315,51,24.23,380,82.89,0,1,0,23,10
SN Thakur,2020-2023,40,22,4,290,50*,16.11,291,99.65,0,1,0,29,6
PP Shaw,2020-2021,6,6,0,189,49,31.50,166,113.85,0,0,0,32,2
DL Chahar,2021-2022,10,7,2,185,69*,37.00,185,100.00,0,2,1,16,8
DJ Hooda,2022-2022,10,7,1,153,33,25.50,189,80.95,0,0,0,10,1
KH Pandya,2021-2021,5,4,2,130,58*,65.00,128,101.56,0,1,0,11,2
B Sai Sudharshan,2023-2023,3,3,1,127,62,63.50,142,89.43,0,2,0,17,1
MK Pandey,2020-2021,6,6,1,126,42,25.20,146,86.30,0,0,0,8,1
RD Gaikwad,2022-2023,6,6,0,115,71,19.16,157,73.24,0,3,0,16,0
NA Saini,2020-2021,7,5,3,107,45,53.50,137,78.10,0,0,0,9,3
Kuldeep Yadav,2020-2025,51,20,7,104,17,8.00,232,44.82,0,0,2,6,0
MA Agarwal,2020-2020,5,5,0,86,32,17.20,83,103.61,0,0,0,12,1
Mohammed Shami,2020-2025,30,14,4,84,23,8.40,101,83.16,0,0,1,7,3
JJ Bumrah,2020-2023,31,13,6,72,16,10.28,116,62.06,0,0,1,8,0
NT Tilak Varma,2023-2023,4,4,1,68,52,22.66,119,57.14,0,1,0,6,1
Mohammed Siraj,2022-2024,43,17,10,55,9*,7.85,129,42.63,0,0,1,3,0
PK Singh,2023-2023,2,2,0,55,38,27.50,41,134.14,0,0,0,5,3
YS Chahal,2020-2023,22,6,2,38,11*,9.50,69,55.07,0,0,0,2,0
Arshdeep Singh,2022-2024,8,5,1,37,18,9.25,33,112.12,0,0,1,1,3
KM Jadhav,2020-2020,2,2,1,35,26*,35.00,42,83.33,0,0,0,4,1
S Dube,2024-2024,3,3,0,34,25,11.33,42,80.95,0,0,1,2,2
R Ashwin,2022-2023,5,2,1,32,25*,32.00,37,86.48,0,0,0,1,1